City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,ponta do sol,32.6667,-17.1,77.72,78,65,2.44,PT,1628243987
146,aguimes,27.9054,-15.4461,72.23,73,40,26.46,ES,1628243991
147,aleksandrovsk-sakhalinskiy,50.8975,142.1561,59.36,97,100,3.8,RU,1628243994
148,carnarvon,-24.8667,113.6333,73.47,45,40,5.75,AU,1628243998
149,georgetown,5.4112,100.3354,89.53,72,20,8.05,MY,1628244003
150,port blair,11.6667,92.75,82.85,82,100,20.96,IN,1628244008
151,upata,8.0086,-62.3989,67.42,97,32,1.07,VE,1628244014
152,sovetskaya,44.7769,41.1722,95.4,27,0,17.52,RU,1628244019
153,zhezkazgan,47.8043,67.7144,92.59,18,19,7.14,KZ,1628244023
154,lukovetskiy,64.2956,41.9211,64.38,40,1,4.47,RU,1628244026
155,tiznit,29.5833,-9.5,77.74,54,9,5.59,MA,1628244030
156,ilulissat,69.2167,-51.1,44.62,93,75,6.91,GL,1628244034
157,luderitz,-26.6481,15.1594,66.2,45,44,5.12,NA,1628244037
158,tarnos,43.5417,-1.4628,76.98,84,90,6.91,FR,1628244041
159,kapoeta,4.7717,33.5903,91.54,30,88,19.42,SS,1628244045
160,westport,41.1415,-73.3579,68.95,97,90,1.01,US,1628243994
161,victoria,22.2855,114.1577,86.05,90,100,4.0,HK,1628243971
162,oriximina,-1.7656,-55.8661,74.5,85,77,2.24,BR,1628244058
163,broome,42.2506,-75.833,61.57,87,3,2.44,US,1628244061
164,amga,60.8953,131.9608,69.08,45,100,10.36,RU,1628244065
165,touros,-5.1989,-35.4608,74.64,74,97,15.79,BR,1628244068
166,kununurra,-15.7667,128.7333,76.98,16,5,8.05,AU,1628244072
167,voi,-3.3945,38.563,82.85,40,34,12.91,KE,1628244075
168,coxim,-18.5067,-54.76,63.0,48,67,6.51,BR,1628243975
169,omboue,-1.5746,9.2618,81.34,66,43,8.19,GA,1628244085
170,samarai,-10.6167,150.6667,77.14,77,100,16.44,PG,1628244089
171,avera,33.194,-82.5271,73.27,92,66,6.11,US,1628244092
172,lompoc,34.6391,-120.4579,56.88,90,90,4.61,US,1628244096
173,tuatapere,-46.1333,167.6833,44.82,88,100,5.21,NZ,1628244099
174,anloga,5.7947,0.8973,78.71,77,92,13.6,GH,1628244102
175,grand-santi,4.25,-54.3833,71.2,99,86,1.16,GF,1628244106
176,alpena,45.0617,-83.4327,67.1,74,100,7.94,US,1628244109
